,length,pos,sent_id,stem,word
0,3,NN,0,mr.,mr.
1,7,NN,0,speaker,speaker
2,1,",",0,",",","
3,3,NN,0,mr.,mr.
4,9,NN,0,presid,president
5,1,",",0,",",","
6,7,NNS,0,member,members
7,2,IN,0,of,of
8,3,DT,0,the,the
9,8,NN,0,congress,congress
10,1,:,0,:,:
11,1,NN,0,i,i
12,5,NN,0,speak,speak
13,7,NN,0,tonight,tonight
14,3,IN,0,for,for
15,3,DT,0,the,the
16,7,NN,0,digniti,dignity
17,2,IN,0,of,of
18,3,NN,0,man,man
19,3,CC,0,and,and
20,3,DT,0,the,the
21,7,NN,0,destini,destiny
22,2,IN,0,of,of
23,9,NN,0,democraci,democracy
24,1,.,0,.,.
25,1,NN,1,i,i
26,4,NN,1,urg,urge
27,5,DT,1,everi,every
28,6,NN,1,member,member
29,2,IN,1,of,of
30,4,DT,1,both,both
31,7,NNS,1,parti,parties
32,1,",",1,",",","
33,9,NNS,1,american,americans
34,2,IN,1,of,of
35,3,DT,1,all,all
36,9,NNS,1,religion,religions
37,3,CC,1,and,and
38,2,IN,1,of,of
39,3,DT,1,all,all
40,6,NNS,1,color,colors
41,1,",",1,",",","
42,4,IN,1,from,from
43,5,DT,1,everi,every
44,7,NN,1,section,section
45,2,IN,1,of,of
46,4,DT,1,thi,this
47,7,NN,1,countri,country
48,1,",",1,",",","
49,2,TO,1,to,to
50,4,NN,1,join,join
51,2,PRP,1,me,me
52,2,IN,1,in,in
53,4,IN,1,that,that
54,5,NN,1,caus,cause
55,1,.,1,.,.
56,2,IN,2,at,at
57,5,NNS,2,time,times
58,7,NN,2,histori,history
59,3,CC,2,and,and
60,4,NN,2,fate,fate
61,4,NN,2,meet,meet
62,2,IN,2,at,at
63,1,DT,2,a,a
64,6,JJ,2,singl,single
65,4,NN,2,time,time
66,2,IN,2,in,in
67,1,DT,2,a,a
68,6,JJ,2,singl,single
69,5,NN,2,place,place
70,2,TO,2,to,to
71,5,NN,2,shape,shape
72,1,DT,2,a,a
73,7,VBG,2,turn,turning
74,5,NN,2,point,point
75,2,IN,2,in,in
76,3,NN,2,man,man
77,2,POS,2,'s,'s
78,8,VBG,2,unend,unending
79,6,NN,2,search,search
80,3,IN,2,for,for
81,7,NN,2,freedom,freedom
82,1,.,2,.,.
83,2,RB,3,so,so
84,2,PRP,3,it,it
85,3,VBD,3,wa,was
86,2,IN,3,at,at
87,9,NN,3,lexington,lexington
88,3,CC,3,and,and
89,7,NN,3,concord,concord
90,1,.,3,.,.
91,2,RB,4,so,so
92,2,PRP,4,it,it
93,3,VBD,4,wa,was
94,1,DT,4,a,a
95,7,NN,4,centuri,century
96,3,RB,4,ago,ago
97,2,IN,4,at,at
98,10,NN,4,appomattox,appomattox
99,1,.,4,.,.
100,2,RB,5,so,so
101,2,PRP,5,it,it
102,3,VBD,5,wa,was
103,4,JJ,5,last,last
104,4,NN,5,week,week
105,2,IN,5,in,in
106,5,NN,5,selma,selma
107,1,",",5,",",","
108,7,NN,5,alabama,alabama
109,1,.,5,.,.
110,5,RB,6,there,there
111,1,",",6,",",","
112,14,NN,6,long-suff,long-suffering
113,3,NNS,6,men,men
114,3,CC,6,and,and
115,5,NNS,6,women,women
116,10,RB,6,peac,peacefully
117,9,VBN,6,protest,protested
118,3,DT,6,the,the
119,6,NN,6,denial,denial
120,2,IN,6,of,of
121,5,PRP$,6,their,their
122,6,NNS,6,right,rights
123,2,IN,6,as,as
124,9,NNS,6,american,americans
125,1,.,6,.,.
126,4,JJ,7,mani,many
127,4,VBD,7,were,were
128,8,RB,7,brutal,brutally
129,9,VBN,7,assault,assaulted
130,1,.,7,.,.
131,3,CD,8,one,one
132,4,JJ,8,good,good
133,3,NN,8,man,man
134,1,",",8,",",","
135,1,DT,8,a,a
136,3,NN,8,man,man
137,2,IN,8,of,of
138,3,NN,8,god,god
139,1,",",8,",",","
140,3,VBD,8,wa,was
141,6,VBN,8,kill,killed
142,1,.,8,.,.
143,5,RB,9,there,there
144,2,VBZ,9,is,is
145,2,DT,9,no,no
146,5,NN,9,caus,cause
147,3,IN,9,for,for
148,5,NN,9,pride,pride
149,2,IN,9,in,in
150,4,WP,9,what,what
151,3,VBZ,9,ha,has
152,8,VBD,9,happen,happened
153,2,IN,9,in,in
154,5,NN,9,selma,selma
155,1,.,9,.,.
156,5,RB,10,there,there
157,2,VBZ,10,is,is
158,2,DT,10,no,no
159,5,NN,10,caus,cause
160,3,IN,10,for,for
161,17,NN,10,self-satisfact,self-satisfaction
162,2,IN,10,in,in
163,3,DT,10,the,the
164,4,RB,10,long,long
165,6,NN,10,denial,denial
166,2,IN,10,of,of
167,5,JJ,10,equal,equal
168,6,NNS,10,right,rights
169,2,IN,10,of,of
170,8,NNS,10,million,millions
171,2,IN,10,of,of
172,9,NNS,10,american,americans
173,1,.,10,.,.
174,3,CC,11,but,but
175,5,RB,11,there,there
176,2,VBZ,11,is,is
177,5,NN,11,caus,cause
178,3,IN,11,for,for
179,4,NN,11,hope,hope
180,3,CC,11,and,and
181,3,IN,11,for,for
182,5,NN,11,faith,faith
183,2,IN,11,in,in
184,3,PRP$,11,our,our
185,9,NN,11,democraci,democracy
186,2,IN,11,in,in
187,4,WP,11,what,what
188,2,VBZ,11,is,is
189,9,VBG,11,happen,happening
190,4,RB,11,here,here
191,7,NN,11,tonight,tonight
192,1,.,11,.,.
193,3,IN,12,for,for
194,3,DT,12,the,the
195,5,NNS,12,cri,cries
196,2,IN,12,of,of
197,4,NN,12,pain,pain
198,3,CC,12,and,and
199,3,DT,12,the,the
200,5,NN,12,hymn,hymns
201,3,CC,12,and,and
202,8,NNS,12,protest,protests
203,2,IN,12,of,of
204,9,VBN,12,oppress,oppressed
205,6,NNS,12,peopl,people
206,4,VB,12,have,have
207,8,VBN,12,summon,summoned
208,4,IN,12,into,into
209,11,NN,12,convoc,convocation
210,3,DT,12,all,all
211,3,DT,12,the,the
212,7,NN,12,majesti,majesty
213,2,IN,12,of,of
214,4,DT,12,thi,this
215,5,JJ,12,great,great
216,10,NN,12,govern,government
217,2,:,12,--,--
218,3,DT,12,the,the
219,10,NN,12,govern,government
220,2,IN,12,of,of
221,3,DT,12,the,the
222,8,JJS,12,greatest,greatest
223,6,NN,12,nation,nation
224,2,IN,12,on,on
225,5,NN,12,earth,earth
226,1,.,12,.,.
227,3,PRP$,13,our,our
228,7,NN,13,mission,mission
229,2,VBZ,13,is,is
230,2,IN,13,at,at
231,4,RB,13,onc,once
232,3,DT,13,the,the
233,6,JJS,13,oldest,oldest
234,3,CC,13,and,and
235,3,DT,13,the,the
236,4,JJS,13,most,most
237,5,JJ,13,basic,basic
238,2,IN,13,of,of
239,4,DT,13,thi,this
240,7,NN,13,countri,country
241,1,:,13,:,:
242,2,TO,13,to,to
243,5,NN,13,right,right
244,5,JJ,13,wrong,wrong
245,1,",",13,",",","
246,2,TO,13,to,to
247,2,VB,13,do,do
248,7,NN,13,justic,justice
249,1,",",13,",",","
250,2,TO,13,to,to
251,5,NN,13,serv,serve
252,3,NN,13,man,man
253,1,.,13,.,.
254,2,IN,14,in,in
255,3,PRP$,14,our,our
256,4,NN,14,time,time
257,2,PRP,14,we,we
258,4,VB,14,have,have
259,4,VB,14,come,come
260,2,TO,14,to,to
261,4,JJ,14,live,live
262,4,IN,14,with,with
263,3,DT,14,the,the
264,7,NNS,14,moment,moments
265,2,IN,14,of,of
266,5,JJ,14,great,great
267,6,NN,14,crisi,crisis
268,1,.,14,.,.
269,3,PRP$,15,our,our
270,5,NNS,15,live,lives
271,4,VB,15,have,have
272,4,VBN,15,been,been
273,6,NNS,15,mark,marked
274,4,IN,15,with,with
275,6,NN,15,debat,debate
276,5,IN,15,about,about
277,5,JJ,15,great,great
278,6,NNS,15,issu,issues
279,2,:,15,--,--
280,6,NNS,15,issu,issues
281,2,IN,15,of,of
282,3,NN,15,war,war
283,3,CC,15,and,and
284,5,NN,15,peac,peace
285,1,",",15,",",","
286,6,NNS,15,issu,issues
287,2,IN,15,of,of
288,10,NN,15,prosper,prosperity
289,3,CC,15,and,and
290,10,NN,15,depress,depression
291,1,.,15,.,.
292,3,CC,16,but,but
293,6,RB,16,rare,rarely
294,2,IN,16,in,in
295,3,DT,16,ani,any
296,4,NN,16,time,time
297,4,VBZ,16,doe,does
298,2,DT,16,an,an
299,5,NN,16,issu,issue
300,3,NN,16,lay,lay
301,4,NN,16,bare,bare
302,3,DT,16,the,the
303,6,NN,16,secret,secret
304,5,NN,16,heart,heart
305,2,IN,16,of,of
306,7,NN,16,america,america
307,6,PRP,16,itself,itself
308,1,.,16,.,.
309,6,RB,17,rare,rarely
310,3,VBP,17,are,are
311,2,PRP,17,we,we
312,3,NN,17,met,met
313,4,IN,17,with,with
314,1,DT,17,a,a
315,9,NN,17,challeng,challenge
316,1,",",17,",",","
