,length,pos,sent_id,stem,word
0,5,NN,0,thank,thank
1,3,PRP,0,you,you
2,6,NNS,0,ladi,ladies
3,3,CC,0,and,and
4,9,NNS,0,gentlemen,gentlemen
5,3,IN,0,for,for
6,1,DT,0,a,a
7,4,RB,0,veri,very
8,4,NN,0,warm,warm
9,9,NN,0,recept,reception
10,1,.,0,.,.
11,2,PRP,1,it,it
12,3,VBD,1,wa,was
13,3,CD,1,one,one
14,7,VBN,1,hundr,hundred
15,3,CC,1,and,and
16,10,NN,1,forty-four,forty-four
17,5,NNS,1,year,years
18,3,RB,1,ago,ago
19,4,IN,1,that,that
20,7,NNS,1,member,members
21,2,IN,1,of,of
22,3,DT,1,the,the
23,10,JJ,1,democrat,democratic
24,5,NN,1,parti,party
25,5,RB,1,first,first
26,3,NN,1,met,met
27,2,IN,1,in,in
28,10,NN,1,convent,convention
29,2,TO,1,to,to
30,6,NN,1,select,select
31,1,DT,1,a,a
32,12,JJ,1,presidenti,presidential
33,9,NN,1,candid,candidate
34,1,.,1,.,.
35,5,IN,2,sinc,since
36,4,IN,2,that,that
37,4,NN,2,time,time
38,1,",",2,",",","
39,9,NNS,2,democrat,democrats
40,4,VB,2,have,have
41,9,JJ,2,continu,continued
42,2,TO,2,to,to
43,7,NN,2,conven,convene
44,4,RB,2,onc,once
45,5,DT,2,everi,every
46,4,CD,2,four,four
47,5,NNS,2,year,years
48,3,CC,2,and,and
49,5,NN,2,draft,draft
50,1,DT,2,a,a
51,5,NN,2,parti,party
52,8,NN,2,platform,platform
53,3,CC,2,and,and
54,8,NN,2,nomin,nominate
55,1,DT,2,a,a
56,12,JJ,2,presidenti,presidential
57,9,NN,2,candid,candidate
58,1,.,2,.,.
59,3,CC,3,and,and
60,3,PRP$,3,our,our
61,7,NN,3,meet,meeting
62,4,DT,3,thi,this
63,4,NN,3,week,week
64,2,VBZ,3,is,is
65,1,DT,3,a,a
66,12,NN,3,continu,continuation
67,2,IN,3,of,of
68,4,IN,3,that,that
69,9,NN,3,tradit,tradition
70,1,.,3,.,.
71,3,CC,4,but,but
72,5,RB,4,there,there
73,2,VBZ,4,is,is
74,9,NN,4,someth,something
75,9,JJ,4,differ,different
76,5,IN,4,about,about
77,7,NN,4,tonight,tonight
78,1,.,4,.,.
79,5,RB,5,there,there
80,2,VBZ,5,is,is
81,9,NN,5,someth,something
82,7,JJ,5,special,special
83,5,IN,5,about,about
84,7,NN,5,tonight,tonight
85,1,.,5,.,.
86,4,WP,6,what,what
87,2,VBZ,6,is,is
88,9,JJ,6,differ,different
89,1,.,6,?,?
90,4,WP,7,what,what
91,2,VBZ,7,is,is
92,7,JJ,7,special,special
93,1,.,7,?,?
94,1,NN,8,i,i
95,1,",",8,",",","
96,7,NN,8,barbara,barbara
97,6,NN,8,jordan,jordan
98,1,",",8,",",","
99,2,VBP,8,am,am
100,1,DT,8,a,a
101,7,NN,8,keynot,keynote
102,7,NN,8,speaker,speaker
103,1,.,8,.,.
104,4,WRB,9,when,when
105,2,:,9,--,--
106,1,DT,9,a,a
107,3,NN,9,lot,lot
108,2,IN,9,of,of
109,5,NNS,9,year,years
110,6,VBN,9,pass,passed
111,5,IN,9,sinc,since
112,4,CD,9,1832,1832
113,1,",",9,",",","
114,3,CC,9,and,and
115,6,IN,9,dure,during
116,4,IN,9,that,that
117,4,NN,9,time,time
118,2,PRP,9,it,it
119,5,MD,9,would,would
120,4,VB,9,have,have
121,4,VBN,9,been,been
122,4,JJS,9,most,most
123,7,JJ,9,unusu,unusual
124,3,IN,9,for,for
125,3,DT,9,ani,any
126,8,JJ,9,nation,national
127,9,JJ,9,polit,political
128,5,NN,9,parti,party
129,2,TO,9,to,to
130,3,NN,9,ask,ask
131,1,DT,9,a,a
132,7,NN,9,barbara,barbara
133,6,NN,9,jordan,jordan
134,2,TO,9,to,to
135,7,NN,9,deliv,deliver
136,1,DT,9,a,a
137,7,NN,9,keynot,keynote
138,7,NN,9,address,address
139,1,.,9,.,.
140,3,CC,10,but,but
141,7,NN,10,tonight,tonight
142,1,",",10,",",","
143,4,RB,10,here,here
144,1,NN,10,i,i
145,2,VBP,10,am,am
146,1,.,10,.,.
147,3,CC,11,and,and
148,1,NN,11,i,i
149,4,NN,11,feel,feel
150,2,:,11,--,--
151,1,NN,11,i,i
152,4,NN,11,feel,feel
153,4,IN,11,that,that
154,15,VBG,11,notwithstand,notwithstanding
155,3,DT,11,the,the
156,4,NN,11,past,past
157,4,IN,11,that,that
158,2,PRP$,11,my,my
159,8,NN,11,presenc,presence
160,4,RB,11,here,here
161,2,VBZ,11,is,is
162,3,CD,11,one,one
163,10,JJ,11,addit,additional
164,3,NN,11,bit,bit
165,2,IN,11,of,of
166,8,NN,11,evid,evidence
167,4,IN,11,that,that
168,3,DT,11,the,the
169,8,JJ,11,american,american
170,5,NN,11,dream,dream
171,4,NN,11,need,need
172,3,RB,11,not,not
173,7,RB,11,forev,forever
174,2,VB,11,be,be
175,8,VBN,11,defer,deferred
176,1,.,11,.,.
177,3,RB,12,now,now
178,2,:,12,--,--
179,3,RB,12,now,now
180,4,IN,12,that,that
181,1,NN,12,i,i
182,4,VB,12,have,have
183,4,DT,12,thi,this
184,5,JJ,12,grand,grand
185,11,NN,12,distinct,distinction
186,1,",",12,",",","
187,4,WP,12,what,what
188,2,IN,12,in,in
189,3,DT,12,the,the
190,5,NN,12,world,world
191,2,VBP,12,am,am
192,1,NN,12,i,i
