,length,pos,sent_id,stem,word
0,9,NN,0,presid,president
1,6,NN,0,hoover,hoover
2,1,",",0,",",","
3,3,NN,0,mr.,mr.
4,5,NN,0,chief,chief
5,7,NN,0,justic,justice
6,1,",",0,",",","
7,2,PRP$,0,my,my
8,7,NNS,0,friend,friends
9,1,:,0,:,:
10,4,DT,0,thi,this
11,2,VBZ,0,is,is
12,1,DT,0,a,a
13,3,NN,0,day,day
14,2,IN,0,of,of
15,8,JJ,0,nation,national
16,12,NN,0,consecr,consecration
17,1,.,0,.,.
18,3,CC,1,and,and
19,1,NN,1,i,i
20,2,VBP,1,am,am
21,7,JJ,1,certain,certain
22,4,IN,1,that,that
23,2,IN,1,on,on
24,4,DT,1,thi,this
25,3,NN,1,day,day
26,2,PRP$,1,my,my
27,6,NN,1,fellow,fellow
28,9,NNS,1,american,americans
29,6,VB,1,expect,expect
30,4,IN,1,that,that
31,2,IN,1,on,on
32,2,PRP$,1,my,my
33,9,NN,1,induct,induction
34,4,IN,1,into,into
35,3,DT,1,the,the
36,10,NN,1,presid,presidency
37,1,",",1,",",","
38,1,NN,1,i,i
39,4,MD,1,will,will
40,7,NN,1,address,address
41,4,PRP,1,them,them
42,4,IN,1,with,with
43,1,DT,1,a,a
44,6,NN,1,candor,candor
45,3,CC,1,and,and
46,1,DT,1,a,a
47,8,NN,1,decis,decision
48,5,WDT,1,which,which
49,3,DT,1,the,the
50,7,NN,1,present,present
51,9,NN,1,situat,situation
52,2,IN,1,of,of
53,3,PRP$,1,our,our
54,6,NNS,1,peopl,people
55,6,NNS,1,impel,impels
56,1,.,1,.,.
57,4,DT,2,thi,this
58,2,VBZ,2,is,is
59,12,RB,2,preemin,preeminently
60,3,DT,2,the,the
61,4,NN,2,time,time
62,2,TO,2,to,to
63,5,NN,2,speak,speak
64,3,DT,2,the,the
65,5,NN,2,truth,truth
66,1,",",2,",",","
67,3,DT,2,the,the
68,5,JJ,2,whole,whole
69,5,NN,2,truth,truth
70,1,",",2,",",","
71,7,RB,2,frankli,frankly
72,3,CC,2,and,and
73,6,RB,2,boldli,boldly
74,1,.,2,.,.
75,3,CC,3,nor,nor
76,4,NN,3,need,need
77,2,PRP,3,we,we
78,6,NN,3,shrink,shrink
79,4,IN,3,from,from
80,8,RB,3,honestli,honestly
81,6,VBG,3,face,facing
82,10,NNS,3,condit,conditions
83,2,IN,3,in,in
84,3,PRP$,3,our,our
85,7,NN,3,countri,country
86,5,NN,3,today,today
87,1,.,3,.,.
88,4,DT,4,thi,this
89,5,JJ,4,great,great
90,6,NN,4,nation,nation
91,4,MD,4,will,will
92,6,NN,4,endur,endure
93,1,",",4,",",","
94,2,IN,4,as,as
95,2,PRP,4,it,it
96,3,VBZ,4,ha,has
97,7,VBN,4,endur,endured
98,1,",",4,",",","
99,4,MD,4,will,will
100,6,NN,4,reviv,revive
101,3,CC,4,and,and
102,4,MD,4,will,will
103,7,NN,4,prosper,prosper
104,1,.,4,.,.
105,2,RB,5,so,so
106,1,",",5,",",","
107,5,RB,5,first,first
108,2,IN,5,of,of
109,3,DT,5,all,all
110,1,",",5,",",","
111,3,VB,5,let,let
112,2,PRP,5,me,me
113,6,NN,5,assert,assert
114,2,PRP$,5,my,my
115,4,NN,5,firm,firm
116,6,NN,5,belief,belief
117,4,IN,5,that,that
118,3,DT,5,the,the
119,4,RB,5,onli,only
120,5,NN,5,thing,thing
121,2,PRP,5,we,we
122,4,VB,5,have,have
123,2,TO,5,to,to
124,4,NN,5,fear,fear
125,2,VBZ,5,is,is
126,4,NN,5,fear,fear
127,6,PRP,5,itself,itself
128,2,:,5,--,--
129,8,NN,5,nameless,nameless
130,1,",",5,",",","
131,11,VBG,5,unreason,unreasoning
132,1,",",5,",",","
133,11,JJ,5,unjustifi,unjustified
134,6,NN,5,terror,terror
135,5,WDT,5,which,which
136,9,NNS,5,paralyz,paralyzes
137,6,VBN,5,need,needed
138,7,NNS,5,effort,efforts
139,2,TO,5,to,to
140,7,NN,5,convert,convert
141,7,NN,5,retreat,retreat
142,4,IN,5,into,into
143,7,NN,5,advanc,advance
144,1,.,5,.,.
145,2,IN,6,in,in
146,5,DT,6,everi,every
147,4,NN,6,dark,dark
148,4,NN,6,hour,hour
149,2,IN,6,of,of
150,3,PRP$,6,our,our
151,8,JJ,6,nation,national
152,4,NN,6,life,life
153,1,",",6,",",","
154,1,DT,6,a,a
155,10,NN,6,leadership,leadership
156,2,IN,6,of,of
157,9,NN,6,frank,frankness
158,3,CC,6,and,and
159,2,IN,6,of,of
160,5,NN,6,vigor,vigor
161,3,VBZ,6,ha,has
162,3,NN,6,met,met
163,4,IN,6,with,with
164,4,IN,6,that,that
165,13,VBG,6,understand,understanding
166,3,CC,6,and,and
167,7,NN,6,support,support
168,2,IN,6,of,of
169,3,DT,6,the,the
170,6,NNS,6,peopl,people
171,10,PRP,6,themselv,themselves
172,5,WDT,6,which,which
173,2,VBZ,6,is,is
174,9,JJ,6,essenti,essential
175,2,TO,6,to,to
176,7,NN,6,victori,victory
177,1,.,6,.,.
178,3,CC,7,and,and
179,1,NN,7,i,i
180,2,VBP,7,am,am
181,9,VBN,7,convinc,convinced
182,4,IN,7,that,that
183,3,PRP,7,you,you
184,4,MD,7,will,will
185,5,RB,7,again,again
186,4,VB,7,give,give
187,4,IN,7,that,that
188,7,NN,7,support,support
189,2,TO,7,to,to
190,10,NN,7,leadership,leadership
191,2,IN,7,in,in
192,5,DT,7,these,these
193,8,JJ,7,critic,critical
194,4,NNS,7,day,days
195,1,.,7,.,.
196,2,IN,8,in,in
197,4,JJ,8,such,such
198,1,DT,8,a,a
199,6,NN,8,spirit,spirit
200,2,IN,8,on,on
201,2,PRP$,8,my,my
202,4,NN,8,part,part
203,3,CC,8,and,and
204,2,IN,8,on,on
205,5,NNS,8,your,yours
206,2,PRP,8,we,we
207,4,NN,8,face,face
208,3,PRP$,8,our,our
209,6,JJ,8,common,common
210,12,NNS,8,difficulti,difficulties
211,1,.,8,.,.
212,4,PRP,9,they,they
213,7,NN,9,concern,concern
214,1,",",9,",",","
215,5,NN,9,thank,thank
216,3,NN,9,god,god
217,1,",",9,",",","
218,4,RB,9,onli,only
219,8,NN,9,materi,material
220,6,NNS,9,thing,things
221,1,.,9,.,.
222,6,NNS,10,valu,values
223,4,VB,10,have,have
224,6,NN,10,shrunk,shrunk
225,2,TO,10,to,to
226,9,JJ,10,fantast,fantastic
227,6,NNS,10,level,levels
228,1,:,10,;,;
229,5,NNS,10,tax,taxes
230,4,VB,10,have,have
231,5,NN,10,risen,risen
232,1,:,10,;,;
233,3,PRP$,10,our,our
234,7,NN,10,abil,ability
235,2,TO,10,to,to
236,3,NN,10,pay,pay
237,3,VBZ,10,ha,has
238,6,VBN,10,fallen,fallen
239,1,:,10,;,;
240,10,NN,10,govern,government
241,2,IN,10,of,of
242,3,DT,10,all,all
243,5,NNS,10,kind,kinds
244,2,VBZ,10,is,is
245,5,VBN,10,face,faced
246,2,IN,10,by,by
247,7,JJ,10,seriou,serious
248,11,NN,10,curtail,curtailment
249,2,IN,10,of,of
250,6,NN,10,incom,income
251,1,:,10,;,;
252,3,DT,10,the,the
253,5,NNS,10,mean,means
254,2,IN,10,of,of
255,8,NN,10,exchang,exchange
256,3,VBP,10,are,are
257,6,NNS,10,frozen,frozen
