,length,pos,sent_id,stem,word
0,8,NN,0,reverend,reverend
1,4,NN,0,meza,meza
2,1,",",0,",",","
3,8,NN,0,reverend,reverend
4,4,NN,0,reck,reck
5,1,",",0,",",","
6,1,NN,0,i,i
7,2,VBP,0,'m,'m
8,8,NN,0,grate,grateful
9,3,IN,0,for,for
10,4,PRP$,0,your,your
11,8,JJ,0,gener,generous
12,10,NN,0,invit,invitation
13,2,TO,0,to,to
14,5,NN,0,state,state
15,2,PRP$,0,my,my
16,5,NNS,0,view,views
17,1,.,0,.,.
18,5,IN,1,while,while
19,3,DT,1,the,the
20,9,JJ,1,so-cal,so-called
21,9,JJ,1,religi,religious
22,5,NN,1,issu,issue
23,2,VBZ,1,is,is
24,11,RB,1,necessarili,necessarily
25,3,CC,1,and,and
26,8,RB,1,properli,properly
27,3,DT,1,the,the
28,5,NN,1,chief,chief
29,5,NN,1,topic,topic
30,4,RB,1,here,here
31,7,NN,1,tonight,tonight
32,1,",",1,",",","
33,1,NN,1,i,i
34,4,NN,1,want,want
35,2,TO,1,to,to
36,9,VB,1,emphas,emphasize
37,4,IN,1,from,from
38,3,DT,1,the,the
39,6,NN,1,outset,outset
40,4,IN,1,that,that
41,1,NN,1,i,i
42,7,VB,1,believ,believe
43,4,IN,1,that,that
44,2,PRP,1,we,we
45,4,VB,1,have,have
46,3,RB,1,far,far
47,4,RBR,1,more,more
48,8,JJ,1,critic,critical
49,6,NNS,1,issu,issues
50,2,IN,1,in,in
51,3,DT,1,the,the
52,4,CD,1,1960,1960
53,8,NN,1,campaign,campaign
54,1,:,1,;,;
55,3,DT,1,the,the
56,6,NN,1,spread,spread
57,2,IN,1,of,of
58,9,NN,1,communist,communist
59,9,NN,1,influenc,influence
60,1,",",1,",",","
61,5,IN,1,until,until
62,2,PRP,1,it,it
63,3,RB,1,now,now
64,7,NNS,1,fester,festers
65,4,RB,1,onli,only
66,2,CD,1,90,90
67,5,NNS,1,mile,miles
68,4,IN,1,from,from
69,3,DT,1,the,the
70,5,NN,1,coast,coast
71,2,IN,1,of,of
72,7,NN,1,florida,florida
73,2,:,1,--,--
74,3,DT,1,the,the
75,11,VBG,1,humili,humiliating
76,9,NN,1,treatment,treatment
77,2,IN,1,of,of
78,3,PRP$,1,our,our
79,9,NN,1,presid,president
80,3,CC,1,and,and
81,4,NN,1,vice,vice
82,9,NN,1,presid,president
83,2,IN,1,by,by
84,5,DT,1,those,those
85,3,WP,1,who,who
86,2,DT,1,no,no
87,6,NN,1,longer,longer
88,7,NN,1,respect,respect
89,3,PRP$,1,our,our
90,5,NN,1,power,power
91,2,:,1,--,--
92,3,DT,1,the,the
93,6,NN,1,hungri,hungry
94,8,NNS,1,children,children
95,1,NN,1,i,i
96,3,NN,1,saw,saw
97,2,IN,1,in,in
98,4,NN,1,west,west
99,8,NN,1,virginia,virginia
100,1,",",1,",",","
101,3,DT,1,the,the
102,3,JJ,1,old,old
103,6,NNS,1,peopl,people
104,3,WP,1,who,who
105,3,MD,1,can,can
106,3,RB,1,not,not
107,3,NN,1,pay,pay
108,5,PRP$,1,their,their
109,7,NNS,1,doctor,doctors
110,5,NNS,1,bill,bills
111,1,",",1,",",","
112,3,DT,1,the,the
113,8,NNS,1,famili,families
114,6,VBN,1,forc,forced
115,2,TO,1,to,to
116,4,VB,1,give,give
117,2,RB,1,up,up
118,5,PRP$,1,their,their
119,5,NNS,1,farm,farms
120,2,:,1,--,--
121,2,DT,1,an,an
122,7,NN,1,america,america
123,4,IN,1,with,with
124,3,RB,1,too,too
125,4,JJ,1,mani,many
126,5,NNS,1,slum,slums
127,1,",",1,",",","
128,4,IN,1,with,with
129,3,RB,1,too,too
130,3,JJ,1,few,few
131,7,NNS,1,school,schools
132,1,",",1,",",","
133,3,CC,1,and,and
134,3,RB,1,too,too
135,4,RB,1,late,late
136,2,TO,1,to,to
137,3,DT,1,the,the
138,4,NN,1,moon,moon
139,3,CC,1,and,and
140,5,NN,1,outer,outer
141,5,NN,1,space,space
142,1,.,1,.,.
143,5,DT,2,these,these
144,3,VBP,2,are,are
145,3,DT,2,the,the
146,4,JJ,2,real,real
147,6,NNS,2,issu,issues
148,5,WDT,2,which,which
149,6,MD,2,should,should
150,6,NN,2,decid,decide
151,4,DT,2,thi,this
152,8,NN,2,campaign,campaign
153,1,.,2,.,.
154,3,CC,3,and,and
155,4,PRP,3,they,they
156,3,VBP,3,are,are
157,3,RB,3,not,not
158,9,JJ,3,religi,religious
159,6,NNS,3,issu,issues
160,2,:,3,--,--
161,3,IN,3,for,for
162,3,NN,3,war,war
163,3,CC,3,and,and
164,6,NN,3,hunger,hunger
165,3,CC,3,and,and
166,9,NN,3,ignor,ignorance
167,3,CC,3,and,and
168,7,NN,3,despair,despair
169,4,VB,3,know,know
170,2,DT,3,no,no
171,9,JJ,3,religi,religious
172,7,NN,3,barrier,barrier
173,1,.,3,.,.
174,3,CC,4,but,but
175,7,IN,4,becaus,because
176,1,NN,4,i,i
177,2,VBP,4,am,am
178,1,DT,4,a,a
179,8,NN,4,cathol,catholic
180,1,",",4,",",","
181,3,CC,4,and,and
182,2,DT,4,no,no
183,8,NN,4,cathol,catholic
184,3,VBZ,4,ha,has
185,4,RB,4,ever,ever
186,4,VBN,4,been,been
187,7,VBN,4,elect,elected
188,9,NN,4,presid,president
189,1,",",4,",",","
190,3,DT,4,the,the
191,4,JJ,4,real,real
