,length,pos,sent_id,stem,word
0,4,NN,0,vice,vice
1,9,NN,0,presid,president
2,7,NN,0,johnson,johnson
3,1,",",0,",",","
4,3,NN,0,mr.,mr.
5,7,NN,0,speaker,speaker
6,1,",",0,",",","
7,3,NN,0,mr.,mr.
8,5,NN,0,chief,chief
9,7,NN,0,justic,justice
10,1,",",0,",",","
11,9,NN,0,presid,president
12,10,NN,0,eisenhow,eisenhower
13,1,",",0,",",","
14,4,NN,0,vice,vice
15,9,NN,0,presid,president
16,5,NN,0,nixon,nixon
17,1,",",0,",",","
18,9,NN,0,presid,president
19,6,NN,0,truman,truman
20,1,",",0,",",","
21,8,NN,0,reverend,reverend
22,6,NN,0,clergi,clergy
23,1,",",0,",",","
24,6,NN,0,fellow,fellow
25,8,NNS,0,citizen,citizens
26,1,:,0,:,:
27,2,PRP,0,we,we
28,7,NN,0,observ,observe
29,5,NN,0,today,today
30,3,RB,0,not,not
31,1,DT,0,a,a
32,7,NN,0,victori,victory
33,2,IN,0,of,of
34,5,NN,0,parti,party
35,1,",",0,",",","
36,3,CC,0,but,but
37,1,DT,0,a,a
38,11,NN,0,celebr,celebration
39,2,IN,0,of,of
40,7,NN,0,freedom,freedom
41,2,:,0,--,--
42,11,VBG,0,symbol,symbolizing
43,2,DT,0,an,an
44,3,NN,0,end,end
45,1,",",0,",",","
46,2,IN,0,as,as
47,4,RB,0,well,well
48,2,IN,0,as,as
49,1,DT,0,a,a
50,9,VBG,0,begin,beginning
51,2,:,0,--,--
52,10,VBG,0,signifi,signifying
53,7,NN,0,renew,renewal
54,1,",",0,",",","
55,2,IN,0,as,as
56,4,RB,0,well,well
57,2,IN,0,as,as
58,6,NN,0,chang,change
59,1,.,0,.,.
60,3,IN,1,for,for
61,1,NN,1,i,i
62,4,VB,1,have,have
63,5,NN,1,sworn,sworn
64,6,IN,1,befor,before
65,3,PRP,1,you,you
66,3,CC,1,and,and
67,8,NN,1,almighti,almighty
68,3,NN,1,god,god
69,3,DT,1,the,the
70,4,JJ,1,same,same
71,6,NN,1,solemn,solemn
72,4,NN,1,oath,oath
73,3,PRP$,1,our,our
74,9,NNS,1,forebear,forebears
