,length,pos,sent_id,stem,word
0,3,NN,0,mr.,mr.
1,4,NN,0,vice,vice
2,9,NN,0,presid,president
3,1,",",0,",",","
4,3,NN,0,mr.,mr.
5,7,NN,0,speaker,speaker
6,1,",",0,",",","
7,7,NNS,0,member,members
8,2,IN,0,of,of
9,3,DT,0,the,the
10,6,NN,0,senat,senate
11,1,",",0,",",","
12,3,CC,0,and,and
13,2,IN,0,of,of
14,3,DT,0,the,the
15,5,NN,0,hous,house
16,2,IN,0,of,of
17,15,NNS,0,repres,representatives
18,1,:,0,:,:
19,9,NN,0,yesterday,yesterday
20,1,",",0,",",","
21,8,NN,0,decemb,december
22,3,NNS,0,7th,7th
23,1,",",0,",",","
24,4,CD,0,1941,1941
25,2,:,0,--,--
26,1,DT,0,a,a
27,4,NN,0,date,date
28,5,WDT,0,which,which
29,4,MD,0,will,will
30,4,JJ,0,live,live
31,2,IN,0,in,in
32,6,NN,0,infami,infamy
33,2,:,0,--,--
34,3,DT,0,the,the
35,6,JJ,0,unit,united
36,6,NNS,0,state,states
37,2,IN,0,of,of
38,7,NN,0,america,america
39,3,VBD,0,wa,was
40,8,RB,0,suddenli,suddenly
41,3,CC,0,and,and
42,12,RB,0,deliber,deliberately
43,8,VBN,0,attack,attacked
44,2,IN,0,by,by
45,5,NN,0,naval,naval
46,3,CC,0,and,and
47,3,NN,0,air,air
48,6,NNS,0,forc,forces
49,2,IN,0,of,of
50,3,DT,0,the,the
51,6,NN,0,empir,empire
52,2,IN,0,of,of
53,5,NN,0,japan,japan
54,1,.,0,.,.
55,3,DT,1,the,the
56,6,JJ,1,unit,united
57,6,NNS,1,state,states
58,3,VBD,1,wa,was
59,2,IN,1,at,at
60,5,NN,1,peac,peace
61,4,IN,1,with,with
62,4,IN,1,that,that
63,6,NN,1,nation,nation
64,3,CC,1,and,and
65,1,",",1,",",","
66,2,IN,1,at,at
67,3,DT,1,the,the
68,12,NN,1,solicit,solicitation
69,2,IN,1,of,of
70,5,NN,1,japan,japan
71,1,",",1,",",","
72,3,VBD,1,wa,was
73,5,RB,1,still,still
74,2,IN,1,in,in
75,12,NN,1,convers,conversation
76,4,IN,1,with,with
77,3,PRP$,1,it,its
78,10,NN,1,govern,government
79,3,CC,1,and,and
80,3,PRP$,1,it,its
81,7,NN,1,emperor,emperor
82,7,VBG,1,look,looking
83,6,IN,1,toward,toward
84,3,DT,1,the,the
85,11,NN,1,mainten,maintenance
86,2,IN,1,of,of
87,5,NN,1,peac,peace
88,2,IN,1,in,in
89,3,DT,1,the,the
90,7,NN,1,pacif,pacific
91,1,.,1,.,.
92,6,RB,2,inde,indeed
93,1,",",2,",",","
94,3,CD,2,one,one
95,4,NN,2,hour,hour
96,5,IN,2,after,after
97,8,JJ,2,japanes,japanese
98,3,NN,2,air,air
99,9,NNS,2,squadron,squadrons
100,3,VBD,2,had,had
101,9,NNS,2,commenc,commenced
102,7,NN,2,bomb,bombing
103,2,IN,2,in,in
104,3,DT,2,the,the
105,8,JJ,2,american,american
106,6,NN,2,island,island
107,2,IN,2,of,of
108,4,NN,2,oahu,oahu
109,1,",",2,",",","
110,3,DT,2,the,the
111,8,JJ,2,japanes,japanese
112,10,NN,2,ambassador,ambassador
113,2,TO,2,to,to
114,3,DT,2,the,the
115,6,JJ,2,unit,united
116,6,NNS,2,state,states
117,3,CC,2,and,and
118,3,PRP$,2,hi,his
119,9,NN,2,colleagu,colleague
120,9,VBN,2,deliv,delivered
121,2,TO,2,to,to
122,3,PRP$,2,our,our
123,9,NN,2,secretari,secretary
124,2,IN,2,of,of
125,5,NN,2,state,state
126,1,DT,2,a,a
127,6,JJ,2,formal,formal
128,5,NN,2,repli,reply
129,2,TO,2,to,to
130,1,DT,2,a,a
131,6,JJ,2,recent,recent
132,8,JJ,2,american,american
133,7,NN,2,messag,message
134,1,.,2,.,.
135,3,CC,3,and,and
136,5,IN,3,while,while
137,4,DT,3,thi,this
138,5,NN,3,repli,reply
139,6,VBN,3,state,stated
140,4,IN,3,that,that
141,2,PRP,3,it,it
142,6,VBD,3,seem,seemed
143,7,NN,3,useless,useless
144,2,TO,3,to,to
145,8,NN,3,continu,continue
146,3,DT,3,the,the
147,8,VBG,3,exist,existing
148,10,JJ,3,diplomat,diplomatic
149,12,NNS,3,negoti,negotiations
150,1,",",3,",",","
151,2,PRP,3,it,it
152,9,VBN,3,contain,contained
153,2,DT,3,no,no
154,6,NN,3,threat,threat
155,2,CC,3,or,or
156,4,NN,3,hint,hint
157,2,IN,3,of,of
158,3,NN,3,war,war
159,2,CC,3,or,or
160,2,IN,3,of,of
161,5,VBN,3,arm,armed
162,6,NN,3,attack,attack
163,1,.,3,.,.
164,2,PRP,4,it,it
165,4,MD,4,will,will
166,2,VB,4,be,be
167,8,VBN,4,record,recorded
168,4,IN,4,that,that
169,3,DT,4,the,the
