,length,pos,sent_id,stem,word
0,6,NNS,0,ladi,ladies
1,3,CC,0,and,and
2,9,NNS,0,gentlemen,gentlemen
3,1,",",0,",",","
4,1,NN,0,i,i
5,2,MD,0,'d,'d
6,7,VBN,0,plan,planned
7,2,TO,0,to,to
8,5,NN,0,speak,speak
9,2,TO,0,to,to
10,3,PRP,0,you,you
11,7,NN,0,tonight,tonight
12,2,TO,0,to,to
13,6,NN,0,report,report
14,2,IN,0,on,on
15,3,DT,0,the,the
16,5,NN,0,state,state
17,2,IN,0,of,of
18,3,DT,0,the,the
19,5,NN,0,union,union
20,1,",",0,",",","
21,3,CC,0,but,but
22,3,DT,0,the,the
23,6,NNS,0,event,events
24,2,IN,0,of,of
25,7,RBR,0,earlier,earlier
26,5,NN,0,today,today
27,4,VB,0,have,have
28,3,VBN,0,led,led
29,2,PRP,0,me,me
30,2,TO,0,to,to
31,6,NN,0,chang,change
32,5,DT,0,those,those
33,5,NNS,0,plan,plans
34,1,.,0,.,.
35,5,NN,1,today,today
36,2,VBZ,1,is,is
37,1,DT,1,a,a
38,3,NN,1,day,day
39,3,IN,1,for,for
40,8,VBG,1,mourn,mourning
41,3,CC,1,and,and
42,11,VBG,1,rememb,remembering
43,1,.,1,.,.
44,5,NN,2,nanci,nancy
45,3,CC,2,and,and
46,1,NN,2,i,i
47,3,VBP,2,are,are
48,6,VBN,2,pain,pained
49,2,TO,2,to,to
50,3,DT,2,the,the
51,4,NN,2,core,core
52,2,IN,2,by,by
53,3,DT,2,the,the
54,7,NN,2,tragedi,tragedy
55,2,IN,2,of,of
56,3,DT,2,the,the
57,7,NN,2,shuttl,shuttle
58,10,NN,2,challeng,challenger
59,1,.,2,.,.
60,2,PRP,3,we,we
61,4,VB,3,know,know
62,2,PRP,3,we,we
63,5,NN,3,share,share
64,4,DT,3,thi,this
65,4,NN,3,pain,pain
66,4,IN,3,with,with
67,3,DT,3,all,all
68,2,IN,3,of,of
69,3,DT,3,the,the
70,6,NNS,3,peopl,people
71,2,IN,3,of,of
72,3,PRP$,3,our,our
73,7,NN,3,countri,country
74,1,.,3,.,.
75,4,DT,4,thi,this
76,2,VBZ,4,is,is
77,5,RB,4,truli,truly
78,1,DT,4,a,a
79,8,JJ,4,nation,national
80,4,NN,4,loss,loss
81,1,.,4,.,.
82,8,NN,5,nineteen,nineteen
83,5,NNS,5,year,years
84,3,RB,5,ago,ago
85,1,",",5,",",","
86,6,RB,5,almost,almost
87,2,TO,5,to,to
88,3,DT,5,the,the
89,3,NN,5,day,day
90,1,",",5,",",","
91,2,PRP,5,we,we
92,4,VBN,5,lost,lost
93,5,CD,5,three,three
94,10,NNS,5,astronaut,astronauts
95,2,IN,5,in,in
96,1,DT,5,a,a
97,8,JJ,5,terribl,terrible
98,8,NN,5,accid,accident
99,2,IN,5,on,on
100,3,DT,5,the,the
101,6,NN,5,ground,ground
102,1,.,5,.,.
103,3,CC,6,but,but
104,2,PRP,6,we,we
105,3,VBP,6,'ve,'ve
106,5,RB,6,never,never
107,4,VBN,6,lost,lost
108,2,DT,6,an,an
109,9,NN,6,astronaut,astronaut
110,2,IN,6,in,in
111,6,NN,6,flight,flight
112,1,.,6,.,.
