,length,pos,sent_id,stem,word
0,1,NN,0,i,i
1,2,VBP,0,am,am
2,5,JJ,0,happi,happy
3,2,TO,0,to,to
4,4,NN,0,join,join
5,4,IN,0,with,with
6,3,PRP,0,you,you
7,5,NN,0,today,today
8,2,IN,0,in,in
9,4,WP,0,what,what
10,4,MD,0,will,will
11,2,VB,0,go,go
12,4,RB,0,down,down
13,2,IN,0,in,in
14,7,NN,0,histori,history
15,2,IN,0,as,as
16,3,DT,0,the,the
17,8,JJS,0,greatest,greatest
18,13,NN,0,demonstr,demonstration
19,3,IN,0,for,for
20,7,NN,0,freedom,freedom
21,2,IN,0,in,in
22,3,DT,0,the,the
23,7,NN,0,histori,history
24,2,IN,0,of,of
25,3,PRP$,0,our,our
26,6,NN,0,nation,nation
27,1,.,0,.,.
28,4,CD,1,five,five
29,5,NN,1,score,score
30,5,NNS,1,year,years
31,3,RB,1,ago,ago
32,1,",",1,",",","
33,1,DT,1,a,a
34,5,JJ,1,great,great
35,8,JJ,1,american,american
36,1,",",1,",",","
37,2,IN,1,in,in
38,5,WP$,1,whose,whose
39,8,NN,1,symbol,symbolic
40,6,NN,1,shadow,shadow
41,2,PRP,1,we,we
42,5,NN,1,stand,stand
43,5,NN,1,today,today
44,1,",",1,",",","
45,6,VBN,1,sign,signed
46,3,DT,1,the,the
47,12,NN,1,emancip,emancipation
48,12,NN,1,proclam,proclamation
49,1,.,1,.,.
50,4,DT,2,thi,this
51,9,JJ,2,moment,momentous
52,6,NN,2,decre,decree
53,4,VBD,2,came,came
54,2,IN,2,as,as
55,1,DT,2,a,a
56,5,JJ,2,great,great
57,6,NN,2,beacon,beacon
58,5,NN,2,light,light
59,2,IN,2,of,of
60,4,NN,2,hope,hope
61,2,TO,2,to,to
62,8,NNS,2,million,millions
63,2,IN,2,of,of
64,5,NN,2,negro,negro
65,6,NNS,2,slave,slaves
66,3,WP,2,who,who
67,3,VBD,2,had,had
68,4,VBN,2,been,been
69,6,VBN,2,sear,seared
70,2,IN,2,in,in
71,3,DT,2,the,the
72,6,NNS,2,flame,flames
73,2,IN,2,of,of
74,9,VBG,2,wither,withering
75,9,NN,2,injustic,injustice
76,1,.,2,.,.
77,2,PRP,3,it,it
78,4,VBD,3,came,came
79,2,IN,3,as,as
80,1,DT,3,a,a
81,6,JJ,3,joyou,joyous
82,8,NN,3,daybreak,daybreak
83,2,TO,3,to,to
84,3,NN,3,end,end
85,3,DT,3,the,the
86,4,RB,3,long,long
87,5,NN,3,night,night
88,2,IN,3,of,of
89,5,PRP$,3,their,their
90,9,NN,3,captiv,captivity
91,1,.,3,.,.
92,3,CC,4,but,but
93,3,CD,4,one,one
94,7,VBN,4,hundr,hundred
95,5,NNS,4,year,years
96,5,RB,4,later,later
97,1,",",4,",",","
98,3,DT,4,the,the
99,5,NN,4,negro,negro
100,5,RB,4,still,still
101,2,VBZ,4,is,is
102,3,RB,4,not,not
103,4,JJ,4,free,free
104,1,.,4,.,.
105,3,CD,5,one,one
106,7,VBN,5,hundr,hundred
107,5,NNS,5,year,years
108,5,RB,5,later,later
109,1,",",5,",",","
110,3,DT,5,the,the
111,4,NN,5,life,life
112,2,IN,5,of,of
113,3,DT,5,the,the
114,5,NN,5,negro,negro
115,2,VBZ,5,is,is
116,5,RB,5,still,still
117,5,RB,5,sadli,sadly
118,8,VBN,5,crippl,crippled
119,2,IN,5,by,by
120,3,DT,5,the,the
121,8,NNS,5,manacl,manacles
122,2,IN,5,of,of
123,11,NN,5,segreg,segregation
124,3,CC,5,and,and
125,3,DT,5,the,the
126,6,NNS,5,chain,chains
127,2,IN,5,of,of
128,14,NN,5,discrimin,discrimination
129,1,.,5,.,.
130,3,CD,6,one,one
131,7,VBN,6,hundr,hundred
132,5,NNS,6,year,years
133,5,RB,6,later,later
134,1,",",6,",",","
135,3,DT,6,the,the
136,5,NN,6,negro,negro
137,5,NNS,6,live,lives
138,2,IN,6,on,on
139,1,DT,6,a,a
140,6,RB,6,lone,lonely
141,6,NN,6,island,island
142,2,IN,6,of,of
143,7,NN,6,poverti,poverty
144,2,IN,6,in,in
145,3,DT,6,the,the
146,5,NN,6,midst,midst
147,2,IN,6,of,of
148,1,DT,6,a,a
149,4,NN,6,vast,vast
150,5,NN,6,ocean,ocean
151,2,IN,6,of,of
152,8,NN,6,materi,material
153,10,NN,6,prosper,prosperity
154,1,.,6,.,.
155,3,CD,7,one,one
156,7,VBN,7,hundr,hundred
157,5,NNS,7,year,years
158,5,RB,7,later,later
159,1,",",7,",",","
160,3,DT,7,the,the
161,5,NN,7,negro,negro
162,2,VBZ,7,is,is
163,5,RB,7,still,still
164,10,VBN,7,languish,languished
165,2,IN,7,in,in
166,3,DT,7,the,the
167,7,NNS,7,corner,corners
168,2,IN,7,of,of
169,8,JJ,7,american,american
170,7,NN,7,societi,society
171,3,CC,7,and,and
172,5,NNS,7,find,finds
173,7,PRP,7,himself,himself
174,2,DT,7,an,an
175,5,NN,7,exil,exile
176,2,IN,7,in,in
177,3,PRP$,7,hi,his
178,3,JJ,7,own,own
179,4,NN,7,land,land
180,1,.,7,.,.
181,3,CC,8,and,and
182,2,RB,8,so,so
183,2,PRP,8,we,we
184,3,VBP,8,'ve,'ve
185,4,VB,8,come,come
186,4,RB,8,here,here
187,5,NN,8,today,today
188,2,TO,8,to,to
189,9,VB,8,dramat,dramatize
190,1,DT,8,a,a
191,8,NN,8,shame,shameful
192,9,NN,8,condit,condition
193,1,.,8,.,.
194,2,IN,9,in,in
195,1,DT,9,a,a
196,5,NN,9,sens,sense
197,2,PRP,9,we,we
198,3,VBP,9,'ve,'ve
199,4,VB,9,come,come
200,2,TO,9,to,to
201,3,PRP$,9,our,our
202,6,NN,9,nation,nation
203,2,POS,9,'s,'s
204,7,NN,9,capit,capital
205,2,TO,9,to,to
206,4,NN,9,cash,cash
207,1,DT,9,a,a
208,5,NN,9,check,check
209,1,.,9,.,.
210,4,WRB,10,when,when
211,3,DT,10,the,the
212,10,NNS,10,architect,architects
213,2,IN,10,of,of
214,3,PRP$,10,our,our
215,8,NN,10,republ,republic
216,5,VBD,10,wrote,wrote
217,3,DT,10,the,the
218,11,NN,10,magnific,magnificent
219,5,NNS,10,word,words
220,2,IN,10,of,of
221,3,DT,10,the,the
222,12,NN,10,constitut,constitution
223,3,CC,10,and,and
224,3,DT,10,the,the
225,11,NN,10,declar,declaration
226,2,IN,10,of,of
227,12,NN,10,independ,independence
228,1,",",10,",",","
229,4,PRP,10,they,they
230,4,VBD,10,were,were
231,7,NN,10,sign,signing
232,1,DT,10,a,a
233,10,NN,10,promissori,promissory
234,4,NN,10,note,note
235,2,TO,10,to,to
236,5,WDT,10,which,which
237,5,DT,10,everi,every
238,8,JJ,10,american,american
239,3,VBD,10,wa,was
240,2,TO,10,to,to
241,4,NN,10,fall,fall
242,4,NN,10,heir,heir
243,1,.,10,.,.
244,4,DT,11,thi,this
245,4,NN,11,note,note
246,3,VBD,11,wa,was
247,1,DT,11,a,a
248,7,NN,11,promis,promise
249,4,IN,11,that,that
250,3,DT,11,all,all
251,3,NNS,11,men,men
252,1,",",11,",",","
253,3,NNS,11,ye,yes
254,1,",",11,",",","
255,5,JJ,11,black,black
256,3,NNS,11,men,men
257,2,IN,11,as,as
258,4,RB,11,well,well
259,2,IN,11,as,as
260,5,JJ,11,white,white
261,3,NNS,11,men,men
