,length,pos,sent_id,stem,word
0,3,WRB,0,how,how
1,3,PRP,0,you,you
2,4,VB,0,have,have
3,4,NN,0,felt,felt
4,1,",",0,",",","
5,1,NN,0,o,o
6,3,NNS,0,men,men
7,2,IN,0,of,of
8,6,NNS,0,athen,athens
9,1,",",0,",",","
10,2,IN,0,at,at
11,7,NN,0,hear,hearing
12,3,DT,0,the,the
13,8,NNS,0,speech,speeches
14,2,IN,0,of,of
15,2,PRP$,0,my,my
16,8,NNS,0,accus,accusers
17,1,",",0,",",","
18,1,NN,0,i,i
19,3,MD,0,can,can
20,3,RB,0,not,not
21,4,NN,0,tell,tell
22,1,:,0,;,;
23,3,CC,0,but,but
24,1,NN,0,i,i
25,4,VB,0,know,know
26,4,IN,0,that,that
27,5,PRP$,0,their,their
28,10,NN,0,persuas,persuasive
29,5,NNS,0,word,words
30,6,RB,0,almost,almost
31,4,VBN,0,made,made
32,2,PRP,0,me,me
33,6,NN,0,forget,forget
34,3,WP,0,who,who
35,1,NN,0,i,i
36,3,VBD,0,wa,was
37,1,:,0,-,-
38,4,JJ,0,such,such
39,3,VBD,0,wa,was
40,3,DT,0,the,the
41,6,NN,0,effect,effect
42,2,IN,0,of,of
43,4,PRP,0,them,them
44,1,:,0,;,;
45,3,CC,0,and,and
46,3,RB,0,yet,yet
47,4,PRP,0,they,they
48,4,VB,0,have,have
49,6,RB,0,hardli,hardly
50,6,NN,0,spoken,spoken
51,1,DT,0,a,a
52,4,NN,0,word,word
53,2,IN,0,of,of
54,5,NN,0,truth,truth
55,1,.,0,.,.
56,3,CC,1,but,but
57,4,JJ,1,mani,many
58,2,IN,1,as,as
59,5,PRP$,1,their,their
60,10,NNS,1,falsehood,falsehoods
61,4,VBD,1,were,were
62,1,",",1,",",","
63,5,RB,1,there,there
64,3,VBD,1,wa,was
65,3,CD,1,one,one
66,2,IN,1,of,of
67,4,PRP,1,them,them
68,5,WDT,1,which,which
69,5,RB,1,quit,quite
70,6,VBN,1,amaz,amazed
71,2,PRP,1,me,me
72,1,:,1,;,;
73,1,:,1,-,-
74,1,NN,1,i,i
75,4,NN,1,mean,mean
76,4,WRB,1,when,when
77,4,PRP,1,they,they
78,4,NN,1,told,told
79,3,PRP,1,you,you
80,2,TO,1,to,to
81,2,VB,1,be,be
82,4,IN,1,upon,upon
83,4,PRP$,1,your,your
84,5,NN,1,guard,guard
85,1,",",1,",",","
86,3,CC,1,and,and
87,3,RB,1,not,not
88,2,TO,1,to,to
89,3,VB,1,let,let
90,10,NNS,1,yourselv,yourselves
91,2,VB,1,be,be
92,8,VBN,1,deceiv,deceived
93,2,IN,1,by,by
94,3,DT,1,the,the
95,5,NN,1,forc,force
96,2,IN,1,of,of
97,2,PRP$,1,my,my
98,9,NN,1,eloqu,eloquence
99,1,.,1,.,.
100,4,PRP,2,they,they
101,5,MD,2,ought,ought
102,2,TO,2,to,to
103,4,VB,2,have,have
104,4,VBN,2,been,been
105,7,VBN,2,asham,ashamed
106,2,IN,2,of,of
107,6,VBG,2,say,saying
108,4,DT,2,thi,this
109,1,",",2,",",","
110,7,IN,2,becaus,because
111,4,PRP,2,they,they
112,4,VBD,2,were,were
113,4,NN,2,sure,sure
114,2,TO,2,to,to
115,2,VB,2,be,be
116,8,VBN,2,detect,detected
117,2,IN,2,as,as
118,4,RB,2,soon,soon
119,2,IN,2,as,as
120,1,NN,2,i,i
121,6,VBN,2,open,opened
122,2,PRP$,2,my,my
123,4,NNS,2,lip,lips
124,3,CC,2,and,and
125,9,NN,2,display,displayed
126,2,PRP$,2,my,my
127,10,NN,2,defici,deficiency
128,1,:,2,;,;
129,4,PRP,2,they,they
130,9,RB,2,certainli,certainly
131,3,VBD,2,did,did
132,6,VB,2,appear,appear
133,2,TO,2,to,to
134,2,VB,2,be,be
135,4,JJS,2,most,most
136,9,NN,2,shameless,shameless
137,2,IN,2,in,in
138,6,VBG,2,say,saying
139,4,DT,2,thi,this
140,1,",",2,",",","
141,6,IN,2,unless,unless
142,2,IN,2,by,by
143,3,DT,2,the,the
144,5,NN,2,forc,force
145,2,IN,2,of,of
146,9,NN,2,eloqu,eloquence
147,4,PRP,2,they,they
148,4,NN,2,mean,mean
149,3,DT,2,the,the
150,5,NN,2,forc,force
151,2,IN,2,of,of
152,5,NN,2,truth,truth
153,1,:,2,;,;
154,3,IN,2,for,for
155,4,RB,2,then,then
156,1,NN,2,i,i
157,2,VB,2,do,do
158,6,RB,2,inde,indeed
159,5,NN,2,admit,admit
160,4,IN,2,that,that
161,1,NN,2,i,i
162,2,VBP,2,am,am
163,8,NN,2,eloqu,eloquent
164,1,.,2,.,.
165,3,CC,3,but,but
166,2,IN,3,in,in
167,3,WRB,3,how,how
168,9,JJ,3,differ,different
169,1,DT,3,a,a
170,3,NN,3,way,way
171,4,IN,3,from,from
172,6,NNS,3,their,theirs
173,1,.,3,!,!
174,4,RB,4,well,well
175,1,",",4,",",","
176,2,IN,4,as,as
177,1,NN,4,i,i
178,3,VBD,4,wa,was
179,6,VBG,4,say,saying
180,1,",",4,",",","
181,4,PRP,4,they,they
182,4,VB,4,have,have
183,6,RB,4,hardli,hardly
184,7,JJ,4,utter,uttered
185,1,DT,4,a,a
